,Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball
84761,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,1,1,Mohammad Rizwan,Babar Azam,B Kumar,0,0,0,0,[],0,,,0,0,148,,119,India,1,0,0,1,0,,,0,1
84762,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,1,2,Mohammad Rizwan,Babar Azam,B Kumar,0,0,0,0,[],0,,,0,0,148,,118,India,1,0,0,2,0,,,0,1
84763,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,1,3,Mohammad Rizwan,Babar Azam,B Kumar,1,0,1,0,[],0,,,1,0,148,,117,India,1,1,0,3,0,,,1,1
84764,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,1,4,Babar Azam,Mohammad Rizwan,B Kumar,4,0,4,0,[],0,,,5,0,148,,116,India,1,4,1,1,3,,,4,1
84765,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,1,5,Babar Azam,Mohammad Rizwan,B Kumar,1,0,1,0,[],0,,,6,0,148,,115,India,1,5,1,2,3,,,1,1
84766,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,1,6,Mohammad Rizwan,Babar Azam,B Kumar,0,0,0,0,[],0,,,6,0,148,,114,India,1,1,5,4,2,,,0,1
84767,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,1,Babar Azam,Mohammad Rizwan,Arshdeep Singh,0,0,0,0,[],0,,,6,0,148,,113,India,1,5,1,3,4,,,0,1
84768,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,2,Babar Azam,Mohammad Rizwan,Arshdeep Singh,0,1,1,1,['wides'],0,,,7,0,148,,113,India,1,5,1,3,4,,,1,0
84769,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,2,Babar Azam,Mohammad Rizwan,Arshdeep Singh,0,0,0,0,[],0,,,7,0,148,,112,India,1,5,1,4,4,,,0,1
84770,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,3,Babar Azam,Mohammad Rizwan,Arshdeep Singh,0,1,1,1,['wides'],0,,,8,0,148,,112,India,1,5,1,4,4,,,1,0
84771,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,3,Babar Azam,Mohammad Rizwan,Arshdeep Singh,0,0,0,0,[],0,,,8,0,148,,111,India,1,5,1,5,4,,,0,1
84772,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,4,Babar Azam,Mohammad Rizwan,Arshdeep Singh,1,0,1,0,[],0,,,9,0,148,,110,India,1,6,1,6,4,,,1,1
84773,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,5,Mohammad Rizwan,Babar Azam,Arshdeep Singh,1,0,1,0,[],0,,,10,0,148,,109,India,1,2,6,5,6,,,1,1
84774,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,2,6,Babar Azam,Mohammad Rizwan,Arshdeep Singh,4,0,4,0,[],0,,,14,0,148,,108,India,1,10,2,7,5,,,4,1
84775,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,3,1,Mohammad Rizwan,Babar Azam,B Kumar,0,0,0,0,[],0,,,14,0,148,,107,India,1,2,10,6,7,,,0,1
84776,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,3,2,Mohammad Rizwan,Babar Azam,B Kumar,1,0,1,0,[],0,,,15,0,148,,106,India,1,3,10,7,7,,,1,1
84777,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,3,3,Babar Azam,Mohammad Rizwan,B Kumar,0,0,0,0,[],0,,,15,0,148,,105,India,1,10,3,8,7,,,0,1
84778,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,3,4,Babar Azam,Mohammad Rizwan,B Kumar,0,0,0,0,[],1,caught,Babar Azam,15,1,148,,104,India,1,0,3,0,7,10,9,0,1
84779,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,3,5,Fakhar Zaman,Mohammad Rizwan,B Kumar,4,0,4,0,[],0,,,19,1,148,,103,India,1,4,3,1,7,,,4,1
84780,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,3,6,Fakhar Zaman,Mohammad Rizwan,B Kumar,0,0,0,0,[],0,,,19,1,148,,102,India,1,4,3,2,7,,,0,1
84781,1327270,8/28/2022,Dubai International Cricket Stadium,Pakistan,India,1,4,1,Mohammad Rizwan,Fakhar Zaman,Arshdeep Singh,0,0,0,0,[],0,,,19,1,148,,101,India,1,3,4,8,2,,,0,1
